index,ROI,Label,R,G,B,alpha,X,Y,Z
1,Default-43_L-Ctx,35,255,0,0,255,-3.98350238800049,-43.2947616577148,32.2848472595215
2,Somatomotor-30_L-Ctx,52,0,255,255,255,-17.2138748168945,-40.6173858642578,66.6830596923828
3,Language-10_L-Ctx,12,0,155,155,255,-53.6730422973633,-7.16518259048462,47.5786476135254
4,Language-12_L-Ctx,26,0,155,155,255,-8.90204048156738,28.5523262023926,59.350227355957
5,Visual2-34_L-Ctx,13,100,0,255,255,-14.9122543334961,-92.4890747070313,29.2622756958008
6,Frontoparietal-48_L-Ctx,149,255,255,0,255,-41.6300506591797,-56.262336730957,48.8823623657227
7,Frontoparietal-38_L-Ctx,85,255,255,0,255,-40.1308288574219,46.2096252441406,7.04730606079102
8,,NaN,NaN,NaN,NaN,NaN,-1.2844512462616,14.4209012985229,-2.03093385696411
9,Visual2-47_L-Ctx,153,100,0,255,255,-24.6982669830322,-50.3860282897949,-4.73543310165405
10,Frontoparietal-45_L-Ctx,133,255,255,0,255,-55.420482635498,-44.110034942627,-10.580961227417
11,Somatomotor-37_L-Ctx,102,0,255,255,255,-32.351505279541,-24.2176513671875,19.2400169372559
12,Default-66_L-Ctx,131,255,0,0,255,-32.6326942443848,6.36915397644043,-25.62184715271
13,Default-42_L-Ctx,34,255,0,0,255,-3.47668743133545,-41.6215972900391,30.7914981842041
14,Default-42_L-Ctx,34,255,0,0,255,-2.4706015586853,-40.1892433166504,29.3855857849121
15,Default-42_L-Ctx,34,255,0,0,255,-2.36849427223206,-38.7636871337891,27.9649887084961
16,Default-42_L-Ctx,34,255,0,0,255,-2.74586796760559,-37.4635810852051,26.7234878540039
17,Frontoparietal-29_L-Ctx,14,255,255,0,255,-4.0373158454895,-36.4981842041016,26.2047920227051
18,Frontoparietal-29_L-Ctx,14,255,255,0,255,-5.64763116836548,-35.7810134887695,26.2965774536133
19,Frontoparietal-29_L-Ctx,14,255,255,0,255,-7.01046562194824,-35.0729637145996,26.5295238494873
20,Frontoparietal-29_L-Ctx,14,255,255,0,255,-7.91078424453735,-34.3583869934082,26.7428283691406
21,Frontoparietal-29_L-Ctx,14,255,255,0,255,-8.491868019104,-33.5508041381836,26.917179107666
22,,NaN,NaN,NaN,NaN,NaN,-8.58509540557861,-32.6224899291992,26.9309539794922
23,,NaN,NaN,NaN,NaN,NaN,-8.35698795318604,-31.6069946289063,26.8557186126709
24,,NaN,NaN,NaN,NaN,NaN,-7.98809051513672,-30.544792175293,26.7262477874756
25,,NaN,NaN,NaN,NaN,NaN,-7.51562786102295,-29.4990711212158,26.5164203643799
26,,NaN,NaN,NaN,NaN,NaN,-6.89644432067871,-28.4383659362793,26.3742599487305
27,,NaN,NaN,NaN,NaN,NaN,-6.21149396896362,-27.4098949432373,26.3136940002441
28,,NaN,NaN,NaN,NaN,NaN,-5.81237077713013,-26.387752532959,26.2585945129395
29,,NaN,NaN,NaN,NaN,NaN,-5.47463226318359,-25.3960399627686,26.3180294036865
30,,NaN,NaN,NaN,NaN,NaN,-4.33738231658936,-24.131950378418,26.3052635192871
31,,NaN,NaN,NaN,NaN,NaN,-2.8401837348938,-22.8439636230469,25.5473937988281
32,,NaN,NaN,NaN,NaN,NaN,-1.90246367454529,-21.6743583679199,25.0941543579102
33,,NaN,NaN,NaN,NaN,NaN,-1.33659875392914,-20.5321407318115,24.7251396179199
34,,NaN,NaN,NaN,NaN,NaN,-0.995193541049957,-19.3294944763184,24.2440719604492
35,,NaN,NaN,NaN,NaN,NaN,-0.748050510883331,-18.1649761199951,23.7482585906982
36,,NaN,NaN,NaN,NaN,NaN,-0.602434635162354,-17.0577964782715,23.2414951324463
37,,NaN,NaN,NaN,NaN,NaN,-0.523003280162811,-15.9869050979614,22.7178058624268
38,,NaN,NaN,NaN,NaN,NaN,-0.468493282794952,-14.9329862594604,22.169075012207
39,,NaN,NaN,NaN,NaN,NaN,-0.406509608030319,-13.8996276855469,21.5872592926025
40,,NaN,NaN,NaN,NaN,NaN,-0.304833561182022,-12.9005508422852,20.9680500030518
41,,NaN,NaN,NaN,NaN,NaN,-0.149254158139229,-11.9383993148804,20.3138694763184
42,,NaN,NaN,NaN,NaN,NaN,0.0310500916093588,-11.0274057388306,19.6270046234131
43,,NaN,NaN,NaN,NaN,NaN,0.199332118034363,-10.1014976501465,18.8809795379639
44,,NaN,NaN,NaN,NaN,NaN,0.30945611000061,-9.13977336883545,18.0676975250244
45,,NaN,NaN,NaN,NaN,NaN,0.338872045278549,-8.21286487579346,17.2013530731201
46,,NaN,NaN,NaN,NaN,NaN,0.325249791145325,-7.32011699676514,16.3479843139648
47,,NaN,NaN,NaN,NaN,NaN,0.244121477007866,-6.47091817855835,15.5106515884399
48,,NaN,NaN,NaN,NaN,NaN,0.172770231962204,-5.66314220428467,14.7053661346436
49,,NaN,NaN,NaN,NaN,NaN,0.110486753284931,-4.94329833984375,13.9273099899292
50,,NaN,NaN,NaN,NaN,NaN,-0.00405412167310715,-4.25991916656494,13.2424936294556
51,,NaN,NaN,NaN,NaN,NaN,-0.128731355071068,-3.54477548599243,12.663857460022
52,,NaN,NaN,NaN,NaN,NaN,-0.235446989536285,-2.78848004341125,12.1533756256104
53,,NaN,NaN,NaN,NaN,NaN,-0.306972563266754,-1.98859810829163,11.6691665649414
54,,NaN,NaN,NaN,NaN,NaN,-0.296863585710526,-1.08621287345886,11.1645774841309
55,,NaN,NaN,NaN,NaN,NaN,-0.235401049256325,-0.0515597052872181,10.5779571533203
56,,NaN,NaN,NaN,NaN,NaN,-0.154648154973984,0.930512428283691,9.85408115386963
57,,NaN,NaN,NaN,NaN,NaN,-0.0630619078874588,1.83860862255096,9.1058464050293
58,,NaN,NaN,NaN,NaN,NaN,0.0238204896450043,2.68066453933716,8.46432590484619
59,,NaN,NaN,NaN,NaN,NaN,0.124824583530426,3.47959995269775,7.83424949645996
60,,NaN,NaN,NaN,NaN,NaN,0.214505597949028,4.273353099823,7.25532054901123
61,,NaN,NaN,NaN,NaN,NaN,0.262381911277771,5.10534238815308,6.73012208938599
62,,NaN,NaN,NaN,NaN,NaN,0.26122635602951,5.98471975326538,6.23788595199585
63,,NaN,NaN,NaN,NaN,NaN,0.231304615736008,6.9048810005188,5.72433757781982
64,,NaN,NaN,NaN,NaN,NaN,0.202808156609535,7.90689516067505,5.11859226226807
65,,NaN,NaN,NaN,NaN,NaN,0.175246179103851,9.00698852539063,4.32403230667114
66,,NaN,NaN,NaN,NaN,NaN,0.0287017691880465,10.1897087097168,3.23050880432129
67,,NaN,NaN,NaN,NaN,NaN,-0.268006592988968,11.5818300247192,1.81666433811188
68,,NaN,NaN,NaN,NaN,NaN,-0.903418481349945,13.159366607666,-1.73694360256195
69,Default-42_L-Ctx,34,255,0,0,255,-2.94323301315308,-44.092041015625,31.1491165161133
70,Default-42_L-Ctx,34,255,0,0,255,-2.67518901824951,-44.7876014709473,29.4323692321777
71,Default-42_L-Ctx,34,255,0,0,255,-2.91239166259766,-45.349983215332,27.6641693115234
72,Default-42_L-Ctx,34,255,0,0,255,-2.81564044952393,-45.8829689025879,26.2038593292236
73,Default-42_L-Ctx,34,255,0,0,255,-2.7904040813446,-46.2796630859375,24.8523464202881
74,Default-42_L-Ctx,34,255,0,0,255,-3.02576327323914,-46.6245803833008,23.5936088562012
75,Default-42_L-Ctx,34,255,0,0,255,-3.41703748703003,-47.1048736572266,22.4423294067383
76,Default-42_L-Ctx,34,255,0,0,255,-3.41934943199158,-47.936653137207,21.2685947418213
77,Default-41_L-Ctx,33,255,0,0,255,-3.0543999671936,-49.0848731994629,19.8716926574707
78,Default-41_L-Ctx,33,255,0,0,255,-2.94634914398193,-50.2496643066406,18.1195201873779
79,Default-41_L-Ctx,33,255,0,0,255,-3.25178194046021,-50.9657516479492,16.3471813201904
80,Default-41_L-Ctx,33,255,0,0,255,-3.94990277290344,-51.0486221313477,14.9850769042969
81,Default-41_L-Ctx,33,255,0,0,255,-4.61432266235352,-51.4763107299805,13.6397142410278
82,Default-41_L-Ctx,33,255,0,0,255,-4.85311603546143,-52.1594657897949,12.3293132781982
83,Default-41_L-Ctx,33,255,0,0,255,-3.77919888496399,-52.9125785827637,10.4604978561401
84,Default-39_L-Ctx,31,255,0,0,255,-3.40046787261963,-53.6902313232422,8.38728713989258
85,Default-39_L-Ctx,31,255,0,0,255,-3.89664602279663,-54.4385528564453,6.66808795928955
86,Default-39_L-Ctx,31,255,0,0,255,-4.61869096755981,-55.0531311035156,4.88713979721069
87,Default-39_L-Ctx,31,255,0,0,255,-6.19940280914307,-55.0395355224609,5.19298076629639
