Variable_name,Variable_type,Description,Range,Units
Network_Network,alphanumeric,,,
R_alt,numeric,,,
R_null,numeric,,,
p_uncorrected,numeric,,,
p_corrected,numeric,,,
R,numeric,,,
mean_square_error,numeric,,,
mean_absolute_error,numeric,,,
mean_absolute_percent_error,numeric,,,
rep,numeric,,,
null,numeric,,,
out,numeric,,,
n_comp,numeric,,,
transformed_outcome,numeric,,,
