Diet,Networks,age,Mean,StdErr,Lower,Upper
BF,Lmb and Lmb,1M,-0.000493623520715439,0.00742562179448933,-0.01761713808527,0.0166298910438391
BF,Lmb and Lmb,3M,0.0117942086342802,0.00640603200730391,-0.00297812766481286,0.0265665449333733
BF,Lmb and Lmb,5M,0.00615771877641145,0.00391019755581056,-0.00285921295675291,0.0151746505095758
BF,Lmb and Lmb,7M,0.0164415409397714,0.00782134714234395,-0.00159451791334106,0.0344775997928838
BF,Lmb and Lmb,9M,0.0104127466944622,0.00442860930876433,0.000200355315247988,0.0206251380736764
BF,Lmb and SoM,1M,-0.0114180374801247,0.00374653973835546,-0.0200575736094791,-0.00277850135077028
BF,Lmb and SoM,3M,-0.0182901940466109,0.0021486201261962,-0.0232449209426023,-0.0133354671506196
BF,Lmb and SoM,5M,-0.0095457446833299,0.00263260927711011,-0.0156165525627227,-0.00347493680393713
BF,Lmb and SoM,7M,-0.00403177106870415,0.00446945764887141,-0.0143383588891215,0.00627481675171321
BF,Lmb and SoM,9M,-0.00397135876477994,0.0015570612785529,-0.00756194851188921,-0.000380769017670663
BF,Lmb and Vis,1M,-0.013478600626002,0.00553062956929347,-0.0262322552830752,-0.000724945968928817
BF,Lmb and Vis,3M,-0.00554551380163249,0.00519397684149904,-0.0175228458762839,0.00643181827301897
BF,Lmb and Vis,5M,-0.00664455098528021,0.00440706514461629,-0.0168072614328795,0.00351815946231909
BF,Lmb and Vis,7M,-0.00801411770781585,0.00358492338409121,-0.0162809658559203,0.000252730440288583
BF,Lmb and Vis,9M,-0.00784356173847538,0.00592490303741479,-0.0215064126434376,0.00581928916648684
BF,SoM and SoM,1M,0.00278090102731459,0.00700079469374729,-0.013362960486182,0.0189247625408112
BF,SoM and SoM,3M,0.0124181826342106,0.00541042993887873,-5.82911780761357e-05,0.0248946564464974
BF,SoM and SoM,5M,0.00455918857571628,0.00367996328874004,-0.00392682198551776,0.0130451991369503
BF,SoM and SoM,7M,0.00733410040901433,0.00744504333444988,-0.0098342003070013,0.02450240112503
BF,SoM and SoM,9M,-0.00304349589465884,0.00819662188504727,-0.0219449398562828,0.0158579480669651
BF,SoM and Vis,1M,-0.0231462568959685,0.00699777973211566,-0.0392831658954751,-0.00700934789646192
BF,SoM and Vis,3M,-0.0149689686136782,0.00261562810625514,-0.0210006178428588,-0.0089373193844976
BF,SoM and Vis,5M,-0.00918689542914536,0.00401413999723124,-0.018443518862049,6.97280037583181e-05
BF,SoM and Vis,7M,-0.0097754294799776,0.00672623448026981,-0.0252861540058326,0.00573529504587743
BF,SoM and Vis,9M,-0.00840143320896398,0.0070165743155764,-0.0245816825956505,0.00777881617772254
BF,Vis and Vis,1M,-0.0216716060087138,0.0132252318908105,-0.0521690454379568,0.00882583342052913
BF,Vis and Vis,3M,0.0120560220324047,0.00442565261944213,0.00185044879099404,0.0222615952738154
BF,Vis and Vis,5M,-0.0102976699772927,0.00790939078848884,-0.0285367578424937,0.0079414178879083
BF,Vis and Vis,7M,0.00942257300429301,0.0104579914335744,-0.0146935984874594,0.0335387444960454
BF,Vis and Vis,9M,0.0015342626667027,0.00427306356491817,-0.00831943958398886,0.0113879649173943
SF,Lmb and Lmb,1M,0.00917828357781079,0.00742562179448933,-0.00794523098674377,0.0263017981423654
SF,Lmb and Lmb,3M,0.00728049565046272,0.00640603200730391,-0.00749184064863034,0.0220528319495558
SF,Lmb and Lmb,5M,0.0128782734233027,0.00391019755581056,0.00386134169013831,0.021895205156467
SF,Lmb and Lmb,7M,0.00835857686310975,0.00782134714234395,-0.00967748199000268,0.0263946357162222
SF,Lmb and Lmb,9M,0.00505938470607977,0.00442860930876433,-0.00515300667313444,0.015271776085294
SF,Lmb and SoM,1M,-0.00993606108354216,0.00374653973835546,-0.0185755972128966,-0.00129652495418774
SF,Lmb and SoM,3M,-0.00957272112270616,0.0021486201261962,-0.0145274480186975,-0.00461799422671482
SF,Lmb and SoM,5M,-0.00481105319959274,0.00263260927711011,-0.0108818610789855,0.00125975467980003
SF,Lmb and SoM,7M,-0.00767116504612284,0.00446945764887141,-0.0179777528665402,0.00263542277429452
SF,Lmb and SoM,9M,-0.00702329584603185,0.0015570612785529,-0.0106138855931411,-0.00343270609892258
SF,Lmb and Vis,1M,-0.0082869538824443,0.00553062956929347,-0.0210406085395175,0.00446670077462888
SF,Lmb and Vis,3M,-0.0102175553044,0.00519397684149904,-0.0221948873790514,0.00175977677025149
SF,Lmb and Vis,5M,-0.00860251405901269,0.00440706514461629,-0.018765224506612,0.00156019638858661
SF,Lmb and Vis,7M,-0.0104360551409555,0.00358492338409121,-0.01870290328906,-0.00216920699285109
SF,Lmb and Vis,9M,-0.013825667485756,0.00592490303741478,-0.0274885183907182,-0.000162816580793809
SF,SoM and SoM,1M,0.00430235324733338,0.00700079469374728,-0.0118415082661632,0.02044621476083
SF,SoM and SoM,3M,0.00681880790080663,0.00541042993887873,-0.00565766591148014,0.0192952817130934
SF,SoM and SoM,5M,0.000687401958757144,0.00367996328874004,-0.0077986086024769,0.00917341251999119
SF,SoM and SoM,7M,-0.0040435972006725,0.00744504333444988,-0.0212118979166881,0.0131247035153431
SF,SoM and SoM,9M,0.00675236165326325,0.00819662188504727,-0.0121490823083607,0.0256538056148872
SF,SoM and Vis,1M,-0.00616956678474956,0.00699777973211566,-0.0223064757842562,0.00996734221475704
SF,SoM and Vis,3M,-0.0110729026828062,0.00261562810625514,-0.0171045519119868,-0.00504125345362563
SF,SoM and Vis,5M,-0.00912130034668657,0.00401413999723124,-0.0183779237795902,0.000135323086217104
SF,SoM and Vis,7M,-0.022603730114061,0.00672623448026981,-0.038114454639916,-0.00709300558820598
SF,SoM and Vis,9M,-0.00951989515026471,0.0070165743155764,-0.0257001445369512,0.00666035423642181
SF,Vis and Vis,1M,0.00178768356790009,0.0132252318908105,-0.0287097558613429,0.032285122997143
SF,Vis and Vis,3M,0.00490775972632939,0.00442565261944213,-0.0052978135150813,0.0151133329677401
SF,Vis and Vis,5M,0.00406223992431218,0.00790939078848884,-0.0141768479408888,0.0223013277895132
SF,Vis and Vis,7M,0.00366288585283141,0.0104579914335744,-0.020453285638921,0.0277790573445838
SF,Vis and Vis,9M,-0.00499560087006516,0.00427306356491817,-0.0148493031207567,0.0048581013806264
UF,Lmb and Lmb,1M,0.00088885725707017,0.00742562179448933,-0.0162346573074844,0.0180123718216247
UF,Lmb and Lmb,3M,0.00178341433546134,0.00640603200730391,-0.0129889219636317,0.0165557506345544
UF,Lmb and Lmb,5M,0.00671271276818719,0.00391019755581056,-0.00230421896497717,0.0157296445013516
UF,Lmb and Lmb,7M,0.00447887293147739,0.00782134714234395,-0.013557185921635,0.0225149317845898
UF,Lmb and Lmb,9M,0.0109868945749311,0.00442860930876433,0.000774503195716876,0.0211992859541453
UF,Lmb and SoM,1M,-0.0127897582167715,0.00374653973835546,-0.021429294346126,-0.00415022208741713
UF,Lmb and SoM,3M,-0.00771933602873518,0.0021486201261962,-0.0126740629247265,-0.00276460913274384
UF,Lmb and SoM,5M,-0.00750631739526945,0.00263260927711011,-0.0135771252746622,-0.00143550951587668
UF,Lmb and SoM,7M,-0.00994478858939206,0.00446945764887141,-0.0202513764098094,0.000361799231025297
UF,Lmb and SoM,9M,-0.00576437169975198,0.0015570612785529,-0.00935496144686126,-0.00217378195264271
UF,Lmb and Vis,1M,-0.0129336188108859,0.00553062956929347,-0.0256872734679591,-0.000179964153812693
UF,Lmb and Vis,3M,-0.0160520547598315,0.00519397684149904,-0.028029386834483,-0.00407472268518008
UF,Lmb and Vis,5M,-0.00952371510468395,0.00440706514461629,-0.0196864255522833,0.000638995342915347
