Networks_age,Diet_1,Diet_2,Difference,StdErr,pValue,Lower,Upper
SoM and Vis 1M,UF,BF,0.0106271115490598,0.00989635500365753,0.895975694819854,-0.0236578865580203,0.04491210965614
SoM and Vis 3M,BF,SF,-0.00389606593087197,0.00369905674199027,0.903713951686045,-0.0167111027146421,0.00891897085289812
SoM and Vis 3M,SF,BF,0.00389606593087197,0.00369905674199027,0.903713951686045,-0.00891897085289812,0.0167111027146421
SoM and Vis 9M,SF,UF,0.0103895500315656,0.00992293455848686,0.905992614521944,-0.0239875304620774,0.0447666305252087
SoM and Vis 9M,UF,SF,-0.0103895500315656,0.00992293455848686,0.905992614521944,-0.0447666305252087,0.0239875304620774
SoM and Vis 3M,SF,XF,0.0037076123882799,0.00369905674199027,0.921423749568905,-0.00910742439549018,0.01652264917205
SoM and Vis 3M,XF,SF,-0.0037076123882799,0.00369905674199027,0.921423749568905,-0.01652264917205,0.00910742439549019
SoM and Vis 5M,SF,XF,0.00552620641884256,0.00567685122534872,0.930525894062705,-0.0141407147297343,0.0251931275674194
SoM and Vis 5M,XF,SF,-0.00552620641884256,0.00567685122534872,0.930525894062705,-0.0251931275674194,0.0141407147297343
Vis and Vis 5M,BF,UF,-0.0108106841010808,0.0111855677231897,0.93262635829357,-0.0495620393297931,0.0279406711276315
Vis and Vis 5M,UF,BF,0.0108106841010808,0.0111855677231897,0.93262635829357,-0.0279406711276315,0.0495620393297931
SoM and Vis 5M,BF,XF,0.00546061133638377,0.00567685122534872,0.933982512995673,-0.0142063098121931,0.0251275324849606
SoM and Vis 5M,XF,BF,-0.00546061133638377,0.00567685122534872,0.933982512995674,-0.0251275324849606,0.0142063098121931
SoM and Vis 1M,BF,XF,-0.00951831266899423,0.00989635500365753,0.934014499674446,-0.0438033107760744,0.0247666854380859
SoM and Vis 1M,XF,BF,0.00951831266899423,0.00989635500365753,0.934014499674446,-0.0247666854380859,0.0438033107760744
Lmb and Lmb 9M,SF,UF,-0.00592750986885133,0.00626299934690626,0.938442820082858,-0.0276250864689193,0.0157700667312167
Lmb and Lmb 9M,UF,SF,0.00592750986885133,0.00626299934690626,0.938442820082858,-0.0157700667312167,0.0276250864689193
Lmb and SoM 7M,BF,UF,0.00591301752068791,0.00632076762348611,0.941480130088989,-0.0159846918810487,0.0278107269224245
Lmb and SoM 7M,UF,BF,-0.00591301752068791,0.00632076762348611,0.941480130088989,-0.0278107269224245,0.0159846918810487
Lmb and Lmb 7M,BF,XF,0.0102607880986196,0.0110610552047309,0.943597172417573,-0.0280592051328631,0.0485807813301023
Lmb and Lmb 7M,XF,BF,-0.0102607880986196,0.0110610552047309,0.943597172417573,-0.0485807813301023,0.0280592051328631
Lmb and Lmb 1M,BF,SF,-0.00967190709852624,0.01050141505082,0.945351618156474,-0.0460530792579691,0.0267092650609166
Lmb and Lmb 1M,SF,BF,0.00967190709852624,0.01050141505082,0.945351618156474,-0.0267092650609166,0.0460530792579691
Lmb and Lmb 9M,SF,XF,0.0056404664567635,0.00626299934690626,0.950524148807421,-0.0160571101433045,0.0273380430568315
Lmb and Lmb 9M,XF,SF,-0.0056404664567635,0.00626299934690626,0.950524148807421,-0.0273380430568315,0.0160571101433045
Lmb and SoM 1M,BF,XF,-0.00476915837690572,0.00529840730995204,0.950644232311675,-0.0231249959075024,0.013586679153691
Lmb and SoM 1M,XF,BF,0.00476915837690572,0.00529840730995204,0.950644232311675,-0.013586679153691,0.0231249959075024
SoM and Vis 7M,SF,UF,-0.00851722496324948,0.00951233202569911,0.951792755759661,-0.0414718113108976,0.0244373613843987
SoM and Vis 7M,UF,SF,0.00851722496324948,0.00951233202569911,0.951792755759661,-0.0244373613843987,0.0414718113108976
Vis and Vis 1M,SF,XF,-0.0166804859471158,0.0187033023055133,0.95264206627195,-0.0814763308722099,0.0481153589779783
Vis and Vis 1M,XF,SF,0.0166804859471158,0.0187033023055133,0.95264206627195,-0.0481153589779783,0.0814763308722099
SoM and Vis 9M,UF,XF,-0.00876558467880703,0.00992293455848686,0.954636588767725,-0.0431426651724501,0.025611495814836
SoM and Vis 9M,XF,UF,0.00876558467880703,0.00992293455848686,0.954636588767725,-0.025611495814836,0.0431426651724501
Lmb and SoM 7M,SF,XF,0.0054940760197244,0.00632076762348611,0.95784135077932,-0.0164036333820122,0.027391785421461
Lmb and SoM 7M,XF,SF,-0.0054940760197244,0.00632076762348611,0.95784135077932,-0.027391785421461,0.0164036333820122
Lmb and Lmb 9M,BF,SF,0.00535336198838243,0.00626299934690626,0.960954147697568,-0.0163442146116855,0.0270509385884504
Lmb and Lmb 9M,SF,BF,-0.00535336198838243,0.00626299934690626,0.960954147697568,-0.0270509385884504,0.0163442146116855
SoM and SoM 9M,BF,SF,-0.00979585754792209,0.011591773835478,0.962953078963889,-0.0499544759342049,0.0303627608383608
SoM and SoM 9M,SF,BF,0.00979585754792209,0.011591773835478,0.962953078963889,-0.0303627608383608,0.0499544759342049
SoM and SoM 9M,BF,UF,0.00961796003243869,0.011591773835478,0.965975707972099,-0.0305406583538442,0.0497765784187215
SoM and SoM 9M,UF,BF,-0.00961796003243869,0.011591773835478,0.965975707972099,-0.0497765784187215,0.0305406583538442
Lmb and SoM 9M,BF,UF,0.00179301293497204,0.0022020171775755,0.968847013928777,-0.00583567002325167,0.00942169589319575
Lmb and SoM 9M,UF,BF,-0.00179301293497204,0.0022020171775755,0.968847013928777,-0.00942169589319575,0.00583567002325167
Lmb and Vis 3M,SF,UF,0.00583449945543157,0.00734539249189971,0.972299617948256,-0.0196129271564339,0.031281926067297
Lmb and Vis 3M,UF,SF,-0.00583449945543157,0.00734539249189971,0.972299617948256,-0.031281926067297,0.0196129271564339
Lmb and Lmb 1M,SF,UF,0.00828942632074063,0.01050141505082,0.973112295041667,-0.0280917458387022,0.0446705984801835
Lmb and Lmb 1M,UF,SF,-0.00828942632074063,0.01050141505082,0.973112295041667,-0.0446705984801835,0.0280917458387022
Lmb and Vis 1M,BF,XF,-0.00598622500032196,0.0078214913453565,0.976822416749371,-0.0330830516472019,0.021110601646558
Lmb and Vis 1M,XF,BF,0.00598622500032196,0.0078214913453565,0.976822416749371,-0.021110601646558,0.0330830516472019
SoM and SoM 1M,UF,XF,0.00747601285996953,0.00990061880328701,0.978290538044615,-0.0268237567829106,0.0417757825028496
SoM and SoM 1M,XF,UF,-0.00747601285996953,0.00990061880328701,0.978290538044615,-0.0417757825028496,0.0268237567829106
SoM and Vis 1M,SF,XF,0.00745837744222475,0.00989635500365753,0.978493676532537,-0.0268266206648554,0.0417433755493049
SoM and Vis 1M,XF,SF,-0.00745837744222475,0.00989635500365753,0.978493676532537,-0.0417433755493049,0.0268266206648554
SoM and SoM 5M,BF,SF,0.00387178661695914,0.00520425399197126,0.979809804430111,-0.0141578655324994,0.0219014387664177
SoM and SoM 5M,SF,BF,-0.00387178661695914,0.00520425399197126,0.979809804430111,-0.0219014387664177,0.0141578655324994
SoM and SoM 3M,BF,SF,0.005599374733404,0.00765150339783173,0.981380420207348,-0.0209085445372795,0.0321072940040875
SoM and SoM 3M,SF,BF,-0.005599374733404,0.00765150339783173,0.981380420207348,-0.0321072940040875,0.0209085445372795
Lmb and Lmb 7M,BF,SF,0.00808296407666162,0.0110610552047309,0.981510704489678,-0.0302370291548211,0.0464029573081443
Lmb and Lmb 7M,SF,BF,-0.00808296407666162,0.0110610552047309,0.981510704489678,-0.0464029573081443,0.0302370291548211
Lmb and Lmb 3M,BF,XF,0.0066127109511341,0.00905949734572533,0.981615102210153,-0.0247730719188717,0.0379984938211399
Lmb and Lmb 3M,XF,BF,-0.00661271095113409,0.00905949734572533,0.981615102210153,-0.0379984938211399,0.0247730719188717
