age,Mean,StdErr,Lower,Upper
1M,-0.00625058356981436,0.00231974830555407,-0.0115999327550549,-0.000901234384573809
3M,-0.00464563337785848,0.0010575113823942,-0.00708425899868497,-0.002207007757032
5M,-0.00431780203627808,0.0006107062037194,-0.00572609306744985,-0.00290951100510631
7M,-0.00694304814150562,0.00224309202862304,-0.0121156276351539,-0.00177046864785738
9M,-0.00648404103648418,0.00106217753108203,-0.0089334268154803,-0.00403465525748807
