Networks,age_1,age_2,Difference,StdErr,pValue,Lower,Upper
SoM and SoM,9M,5M,-0.00406901707661864,0.00371666718656822,0.973882430502288,-0.0182531252163497,0.0101150910631124
SoM and SoM,1M,5M,0.00352610336666224,0.00362378233478592,0.988294758293213,-0.0103035235359582,0.0173557302692827
SoM and SoM,5M,1M,-0.00352610336666224,0.00362378233478592,0.988294758293213,-0.0173557302692827,0.0103035235359582
Lmb and Vis,3M,9M,0.00440304667854943,0.00483303170995376,0.99273738430382,-0.0140415008086392,0.0228475941657381
Lmb and Vis,9M,3M,-0.00440304667854943,0.00483303170995376,0.99273738430382,-0.0228475941657381,0.0140415008086392
Lmb and SoM,5M,7M,0.00271311675590435,0.00320963045296027,0.995874105049774,-0.00953596101944484,0.0149621945312535
Lmb and SoM,7M,5M,-0.00271311675590435,0.00320963045296027,0.995874105049774,-0.0149621945312535,0.00953596101944484
SoM and Vis,1M,7M,0.0042553715568776,0.00505883573867507,0.996027016996172,-0.0150509234586733,0.0235616665724284
SoM and Vis,7M,1M,-0.0042553715568776,0.00505883573867507,0.996027016996172,-0.0235616665724284,0.0150509234586733
Lmb and Vis,3M,7M,0.00291091164021133,0.00346509581119186,0.996067313332472,-0.0103131117208517,0.0161349350012743
Lmb and Vis,7M,3M,-0.00291091164021133,0.00346509581119186,0.996067313332472,-0.0161349350012743,0.0103131117208517
Lmb and SoM,7M,9M,-0.0016009128671133,0.00193315747376571,0.996480303580267,-0.00897852116040265,0.00577669542617606
Lmb and SoM,9M,7M,0.0016009128671133,0.00193315747376571,0.996480303580267,-0.00577669542617606,0.00897852116040265
SoM and Vis,1M,5M,-0.00265435776439455,0.00321931131281054,0.996598489123977,-0.0149403811030963,0.00963166557430722
SoM and Vis,5M,1M,0.00265435776439455,0.00321931131281054,0.996598489123977,-0.00963166557430722,0.0149403811030963
Vis and Vis,1M,3M,-0.00530210019062088,0.00707450335714684,0.998410354963088,-0.0323008912083647,0.0216966908271229
Vis and Vis,3M,1M,0.00530210019062088,0.00707450335714684,0.998410354963088,-0.0216966908271229,0.0323008912083647
Lmb and Vis,1M,9M,0.00328920500030071,0.00469045386696038,0.999081001583068,-0.0146112153316085,0.0211896253322099
Lmb and Vis,9M,1M,-0.00328920500030071,0.00469045386696038,0.999081001583068,-0.0211896253322099,0.0146112153316085
SoM and SoM,1M,3M,-0.00321890311281269,0.00485258727982117,0.99942462698662,-0.0217380815270684,0.015300275301443
SoM and SoM,3M,1M,0.00321890311281269,0.00485258727982117,0.99942462698662,-0.015300275301443,0.0217380815270684
SoM and SoM,7M,9M,0.00412799566741405,0.00636543667021542,0.999525610080879,-0.0201647476842747,0.0284207390191028
SoM and SoM,9M,7M,-0.00412799566741405,0.00636543667021542,0.999525610080879,-0.0284207390191028,0.0201647476842747
Lmb and Lmb,1M,7M,-0.00333161031679918,0.00517643678737846,0.999555416338343,-0.023086712262974,0.0164234916293757
Lmb and Lmb,7M,1M,0.00333161031679918,0.00517643678737846,0.999555416338343,-0.0164234916293757,0.023086712262974
SoM and Vis,1M,3M,-0.00228681481613909,0.00378875237954966,0.999745088624879,-0.0167460253853309,0.0121723957530528
SoM and Vis,3M,1M,0.00228681481613909,0.00378875237954966,0.999745088624879,-0.0121723957530528,0.0167460253853309
Lmb and Vis,1M,5M,-0.00234311379990981,0.00390512917636208,0.999757979296737,-0.0172464591242684,0.0125602315244488
Lmb and Vis,5M,1M,0.00234311379990981,0.00390512917636208,0.999757979296737,-0.0125602315244488,0.0172464591242684
Lmb and SoM,5M,9M,0.00111220388879106,0.00187175591485669,0.999777748793803,-0.00603107447722877,0.00825548225481088
Lmb and SoM,9M,5M,-0.00111220388879106,0.00187175591485669,0.999777748793803,-0.00825548225481088,0.00603107447722877
Lmb and Lmb,7M,9M,0.00239544983768023,0.0043549221198729,0.999887843420105,-0.0142244634307499,0.0190153631061103
Lmb and Lmb,9M,7M,-0.00239544983768023,0.0043549221198729,0.999887843420105,-0.0190153631061103,0.0142244634307499
SoM and SoM,1M,7M,0.00346712477586682,0.00632618307389164,0.999891431208411,-0.0206758130572805,0.0276100626090142
SoM and SoM,7M,1M,-0.00346712477586682,0.00632618307389164,0.999891431208411,-0.0276100626090142,0.0206758130572805
Lmb and Vis,1M,7M,0.00179706996196261,0.00332249542483143,0.99990352904978,-0.0108827402104098,0.0144768801343351
Lmb and Vis,7M,1M,-0.00179706996196261,0.00332249542483143,0.99990352904978,-0.0144768801343351,0.0108827402104098
Vis and Vis,5M,9M,-0.00238547952966081,0.00475268073666709,0.999950919736178,-0.0205233794648842,0.0157524204055626
Vis and Vis,9M,5M,0.00238547952966081,0.00475268073666709,0.999950919736178,-0.0157524204055626,0.0205233794648842
Lmb and SoM,1M,7M,-0.00149494252839777,0.00319291610250632,0.999974047111456,-0.0136802324684571,0.0106903474116615
Lmb and SoM,7M,1M,0.00149494252839777,0.00319291610250632,0.999974047111456,-0.0106903474116615,0.0136802324684571
Vis and Vis,7M,9M,-0.00277063949519441,0.00617629849084671,0.999982529403825,-0.0263415650852033,0.0208002860948145
Vis and Vis,9M,7M,0.00277063949519441,0.00617629849084671,0.999982529403825,-0.0208002860948145,0.0263415650852033
Lmb and Lmb,5M,7M,-0.00132156479845184,0.00297053984236408,0.999983823018889,-0.0126581887796742,0.0100150591827706
Lmb and Lmb,7M,5M,0.00132156479845184,0.00297053984236408,0.999983823018889,-0.0100150591827706,0.0126581887796742
Lmb and Lmb,1M,5M,-0.00201004551834734,0.00464962471194736,0.999987615989308,-0.0197546474460552,0.0157345564093606
Lmb and Lmb,5M,1M,0.00201004551834734,0.00464962471194736,0.999987615989308,-0.0157345564093606,0.0197546474460552
Lmb and Vis,7M,9M,0.00149213503833809,0.00351097604096422,0.999989439524489,-0.0119069834033172,0.0148912534799934
Lmb and Vis,9M,7M,-0.00149213503833809,0.00351097604096422,0.999989439524489,-0.0148912534799934,0.0119069834033172
Vis and Vis,1M,5M,0.00222220749806387,0.00562863821643734,0.999994714275019,-0.0192586540194528,0.0237030690155805
Vis and Vis,5M,1M,-0.00222220749806387,0.00562863821643734,0.999994714275019,-0.0237030690155805,0.0192586540194528
Lmb and SoM,3M,7M,-0.000923709210554041,0.00234978319154738,0.999994925186362,-0.00989130765850795,0.00804388923739987
Lmb and SoM,7M,3M,0.000923709210554041,0.00234978319154738,0.999994925186362,-0.00804388923739987,0.00989130765850795
Lmb and Lmb,3M,7M,-0.00235503181803997,0.00620744454759671,0.999996373146899,-0.026044821706328,0.021334758070248
Lmb and Lmb,7M,3M,0.00235503181803997,0.00620744454759671,0.999996373146899,-0.021334758070248,0.026044821706328
SoM and Vis,1M,9M,-0.00162206980262969,0.00485836876119608,0.999998928049089,-0.0201633123816096,0.0169191727763503
SoM and Vis,9M,1M,0.00162206980262969,0.00485836876119608,0.999998928049089,-0.0169191727763503,0.0201633123816096
Lmb and Lmb,5M,9M,0.00107388503922839,0.00330994939026781,0.999999185890857,-0.0115580450561713,0.013705815134628
Lmb and Lmb,9M,5M,-0.00107388503922839,0.00330994939026781,0.999999185890857,-0.013705815134628,0.0115580450561713
Vis and Vis,1M,7M,0.00260736746359747,0.00890964593590388,0.999999699131977,-0.0313949725625119,0.0366097074897068
Vis and Vis,7M,1M,-0.00260736746359747,0.00890964593590388,0.999999699131977,-0.0366097074897068,0.0313949725625119
Lmb and Vis,3M,5M,-0.00122927212166109,0.00439413943357773,0.99999980564299,-0.0179988524414079,0.0155403081980857
Lmb and Vis,5M,3M,0.00122927212166109,0.00439413943357773,0.99999980564299,-0.0155403081980857,0.0179988524414079
Lmb and Lmb,3M,5M,-0.00103346701958813,0.00372942493399193,0.999999822751443,-0.0152662632069688,0.0131993291677925
Lmb and Lmb,5M,3M,0.00103346701958813,0.00372942493399193,0.999999822751443,-0.0131993291677925,0.0152662632069688
SoM and Vis,5M,9M,0.00103228796176486,0.00375279510581072,0.99999983503304,-0.0132896970143025,0.0153542729378322
SoM and Vis,9M,5M,-0.00103228796176486,0.00375279510581072,0.99999983503304,-0.0153542729378322,0.0132896970143025
Lmb and Vis,1M,3M,-0.00111384167824872,0.00417331269339958,0.999999876998211,-0.0170406695518925,0.014812986195395
Lmb and Vis,3M,1M,0.00111384167824872,0.00417331269339958,0.999999876998211,-0.014812986195395,0.0170406695518925
Lmb and Lmb,1M,9M,-0.000936160479118952,0.00366090155773879,0.999999918942506,-0.0149074473814104,0.0130351264231725
Lmb and Lmb,9M,1M,0.000936160479118952,0.00366090155773879,0.999999918942506,-0.0130351264231725,0.0149074473814104
Lmb and SoM,1M,3M,-0.000571233317843732,0.00235313669271384,0.999999951244458,-0.00955162990477646,0.008409163269089
Lmb and SoM,3M,1M,0.000571233317843732,0.00235313669271384,0.999999951244458,-0.008409163269089,0.00955162990477646
SoM and Vis,3M,5M,-0.000367542948255464,0.00188682913583982,0.999999994389278,-0.00756834602275912,0.00683326012624819
SoM and Vis,5M,3M,0.000367542948255464,0.00188682913583982,0.999999994389278,-0.00683326012624819,0.00756834602275912
SoM and Vis,3M,9M,0.000664745013509398,0.00353027639787759,0.999999995984524,-0.0128080303728904,0.0141375203999092
SoM and Vis,9M,3M,-0.000664745013509398,0.00353027639787759,0.999999995984524,-0.0141375203999092,0.0128080303728904
Lmb and Lmb,1M,3M,-0.000976578498759207,0.00539921283058788,0.999999997300675,-0.0215818721164519,0.0196287151189335
Lmb and Lmb,3M,1M,0.000976578498759207,0.00539921283058788,0.999999997300675,-0.0196287151189335,0.0215818721164519
Vis and Vis,5M,7M,0.000385159965533599,0.0068068815652569,0.999999999999974,-0.0255922922434963,0.0263626121745635
Vis and Vis,7M,5M,-0.000385159965533599,0.0068068815652569,0.999999999999974,-0.0263626121745635,0.0255922922434963
Lmb and Lmb,3M,9M,4.04180196402562e-05,0.0037953556806591,1,-0.0144439930671965,0.014524829106477
Lmb and Lmb,9M,3M,-4.04180196402562e-05,0.0037953556806591,1,-0.014524829106477,0.0144439930671965
SoM and SoM,5M,7M,-5.89785907954104e-05,0.00516872043341834,1,-0.0197846322184847,0.0196666750368939
SoM and SoM,7M,5M,5.89785907954104e-05,0.00516872043341834,1,-0.0196666750368939,0.0197846322184847
Vis and Vis,1M,9M,-0.000163272031596935,0.00734080167754795,1,-0.028178351025743,0.0278518069625491
Vis and Vis,9M,1M,0.000163272031596935,0.00734080167754795,1,-0.0278518069625491,0.028178351025743
