Row,R,exp_variance
CiO and FPn,0.163092277551073,2.65990909967963
DAn and FPn,0.158620052807558,2.51603211526724
CiO and DAn,0.138277688712436,1.91207191956534
Def and FPn,0.133976946081913,1.79498220814358
FPn and VMm,0.132204599197895,1.7478056049076
DAn and DAn,0.130148216799278,1.69385583360319
DAn and Sub,0.120718607086149,1.457298209682
FPn and Sub,0.114451492961501,1.30991442411166
DAn and VMm,0.10087588010089,1.01759431861291
FPn and Vi2,0.100798454111499,1.0160328351268
FPn and FPn,0.0962159140240994,0.92575021114929
DAn and Smn,0.0921560942496664,0.849274570735339
CiO and Vi1,0.088592516809368,0.784863403461815
FPn and Vi1,0.0852573259480452,0.726881162781122
OrA and Vi2,0.0817869871275979,0.668911126340986
CiO and CiO,0.0804644318202075,0.647452478814882
Def and VMm,0.0799437238001451,0.639099897503389
FPn and PMm,0.0796039329206292,0.633678613643203
Sub and Vi2,0.0785877899891479,0.617604073537841
FPn and OrA,0.0776996781316841,0.603723998176731
DAn and Vi2,0.0755744409936449,0.571149613150191
CiO and Smn,0.0732113084521213,0.535989568527165
CiO and Def,0.0722328283874597,0.52175814968522
FPn and Smn,0.0689483681445293,0.475387746979355
Aud and Def,0.0657749228361037,0.43263404740954
VMm and Vi2,0.0657381235203801,0.432150088398075
FPn and Lan,0.063252111617463,0.4000829624068
OrA and OrA,0.0614100249842444,0.377119116856552
CiO and Vi2,0.0594542883185841,0.353481239946933
OrA and Vi1,0.0580638110105768,0.337140614907198
CiO and Sub,0.0563507348137326,0.317540531404761
DAn and PMm,0.055404703122614,0.306968112810499
Def and Vi1,0.0552850097335398,0.305643230123759
Vi2 and Vi2,0.0549143124058924,0.301558170701194
Def and Vi2,0.0546879707415681,0.299077414383061
Def and Sub,0.0520904658371712,0.27134166311335
DAn and OrA,0.0503712826032657,0.253726611109806
Def and PMm,0.0500921824346449,0.250922674106575
CiO and VMm,0.0495690932605219,0.245709500667031
Lan and VMm,0.0488435521265881,0.238569258434273
OrA and PMm,0.0484994004309406,0.235219184216072
DAn and Vi1,0.0429515336722074,0.184483424479477
CiO and Lan,0.0422667810930023,0.178648078396378
Def and OrA,0.0414432639499808,0.171754412682778
Lan and Vi1,0.0406621597991236,0.165341123952946
Def and Def,0.0375608647983951,0.141081856440331
Def and Lan,0.0326484142762117,0.106591895475114
CiO and PMm,0.0319933827323894,0.102357653866115
Aud and FPn,0.0307720458373904,0.0946918805018453
OrA and VMm,0.0288172638293591,0.0830434694610891
Sub and VMm,0.0281074148037032,0.0790026766947436
Sub and Vi1,0.0279274940243463,0.0779944922479898
PMm and Vi1,0.0278391582125657,0.0775018729984264
Aud and DAn,0.0274218219373262,0.0751956318362427
Smn and Vi1,0.0268737133924877,0.0722196471501575
VMm and Vi1,0.0266155468498511,0.0708387334116616
DAn and Def,0.0264988126266079,0.0702187070620075
PMm and PMm,0.025921540403718,0.0671926256901583
PMm and VMm,0.0250467030867366,0.0627337335515141
PMm and Sub,0.0246844616618925,0.060932264753744
Lan and Vi2,0.0239015780528878,0.057128543341829
PMm and Vi2,0.0198573562597264,0.0394314597625693
VMm and VMm,0.0153278172077696,0.0234941980354799
Def and Smn,0.0140227469814957,0.0196637432907048
Smn and Vi2,0.0134670392276909,0.0181361145560165
Smn and Smn,0.0109773164347804,0.0120501476109299
Vi1 and Vi2,0.00973959578314108,0.00948597260189795
Sub and Sub,0.00836870026744119,0.00700351441662702
Aud and Sub,0.00826230909872371,0.00682657516428526
Aud and VMm,0.00576669290109643,0.00332547470155559
Aud and Smn,0.00402434669803191,0.00161953663459603
Vi1 and Vi1,0.00137054273570419,0.000187838739039153
Aud and Vi1,0.00115726187976595,0.000133925505835942
Aud and Vi2,-0.00493720527363972,0.00243759959140559
Lan and Smn,-0.00955777175479631,0.00913510009167822
Lan and Lan,-0.0102070515185939,0.0104183900703229
PMm and Smn,-0.0147833571085145,0.0218547647397866
Smn and VMm,-0.0151207472821831,0.0228636998371646
Aud and Lan,-0.0165544023162437,0.0274048236048053
Aud and CiO,-0.0210362057642781,0.0442521952957048
CiO and OrA,-0.0250143719685194,0.0625718804979449
Aud and PMm,-0.030937392042648,0.0957122226400498
DAn and Lan,-0.0314368314956132,0.0988274374483576
Lan and OrA,-0.0328894636445947,0.108171681882912
Smn and Sub,-0.039396266737686,0.15520658328669
OrA and Smn,-0.0421029718524985,0.177266023881228
Lan and Sub,-0.0441941966120998,0.195312701418894
OrA and Sub,-0.0468452880570492,0.219448101314792
Aud and OrA,-0.0495817856090363,0.245835346418044
Lan and PMm,-0.0596076807364232,0.355307560277536
Aud and Aud,-0.0643916860733266,0.414628923536585
