Row,min_mae,min_comp,d,out_for_xval
Sal and VeA,0.715673749453594,1,0.406542400973141,3
VeA and VeA,0.809601775996497,1,0.11611471677624,3
Sal and Sal,0.87892036073939,1,-0.0661158120717562,3
