Row,min_mae_out_3,min_comp_out_3,d_out_3,min_mae,max_d,n_comp
Sal and VeA,0.715673749453594,1,0.406542400973141,0.715673749453594,0.406542400973141,1
VeA and VeA,0.809601775996497,1,0.11611471677624,0.809601775996497,0.11611471677624,1
Sal and Sal,0.87892036073939,1,-0.0661158120717562,0.87892036073939,-0.0661158120717562,1
