subgroup,R,G,B
BF,0.105882353,0.619607843,0.466666667
SF,0.458823529,0.439215686,0.701960784
UF,0.850980392,0.37254902,0.007843137
2m,0.968627451,0.407843137,0.631372549
4m,0.77254902,0.105882353,0.541176471
6m,0.478431373,0.003921569,0.466666667
